CVE,CVE-Description,CVSSv2 Base (nvd),CVSSv3.1 Base (nvd),QID,Title,Severity,KB Severity,Type Detected,Last Detected,First Detected,Protocol,Port,Status,Asset Id,Asset Name,Asset IPV4,Asset IPV6,Solution,Asset Tags,Disabled,Ignored,QVS Score,Detection AGE,Published Date,Patch Released,Category,CVSS Rating Labels,RTI,Operating System,Last Fixed,Last Reopened,Times Detected,Threat,Vuln Patchable,Asset Critical Score,TruRisk Score,Vulnerability Tags,Results
-,-,-,-,27356,FTP Server Does Not Support AUTH Command,3,3,Confirmed,"Jul 24, 2024","Jul 24, 2024",TCP,21,NEW,679762276,10.66.179.36,10.66.179.36,,"Upgrade/migrate to a FTP server that supports the AUTH command.
Workaround:
Consider using sftp(Upgrade/migrate to a FTP server that supports the AUTH command.
Workaround:<BR>
Consider using sftp)",,No,No,-,4,"Jan 12, 2012",-,File Transfer Protocol,MEDIUM,"Easy Exploit,Patch Not Available",-,-,-,1,"If this vulnerability is successfully exploited, attackers can intercept the credentials by eavesdropping on the connection.",No,2,334,,"500 AUTH GSSAPI: command not understood.
"
CVE-2021-36368,"An issue was discovered in OpenSSH before 8.9. If a client is using public-key authentication with agent forwarding but without -oLogLevel=verbose, and an attacker has silently modified the server to support the None authentication option, then the user cannot determine whether FIDO authentication is going to confirm that the user wishes to connect to that server, or that the user wishes to allow that server to connect to a different server on the user's behalf. NOTE: the vendor's position is ""this is not an authentication bypass, since nothing is being bypassed.",2.6,3.7,38900,OpenSSH Public-Key Authentication Vulnerability,2,2,Potential,"Jul 24, 2024","Jul 24, 2024",-,-,NEW,679762276,10.66.179.36,10.66.179.36,,Customers are advised to upgrade to OpenSSH 8.9 or later to remediate these vulnerabilities.(https://www.openssh.com/),,No,No,20,4,"Jul 19, 2023","Mar 11, 2022",General remote services,LOW,-,-,-,-,1,Successful exploitation allows a remote attacker silently modify the server to support the None authentication option when a client is using public-key authentication with agent forwarding but without -oLogLevel=verbose.,No,2,334,,"Vulnerable SSH-2.0-OpenSSH_7.5 FreeBSD-20170903 detected on port 22 over TCP.Vulnerable SSH-2.0-OpenSSH_7.5 FreeBSD-20170903 detected on port 12001 over TCP.
"
-,-,-,-,48169,Remote Management Service Accepting Unencrypted Credentials Detected (FTP),3,3,Confirmed,"Jul 24, 2024","Jul 24, 2024",-,-,NEW,679762276,10.66.179.36,10.66.179.36,,"If possible, use alternate services that provide encryption.
Using strong cryptography, render all authentication credentials (such as passwords/phrases) unreadable during transmission.(If possible, use alternate services that provide encryption.<BR>
Using strong cryptography, render all authentication credentials (such as passwords/phrases) unreadable during transmission.)",,No,No,-,4,"Feb 24, 2021",-,Information gathering,HIGH,"Patch Not Available,Wormable,Unauthenticated Exploitation",-,-,-,1,NA,No,2,334,,"Service name: FTP on TCP port 21.
"
CVE-2016-20012,"OpenSSH through 8.7 allows remote attackers, who have a suspicion that a certain combination of username and public key is known to an SSH server, to test whether this suspicion is correct. This occurs because a challenge is sent only when that combination could be valid for a login session. NOTE: the vendor does not recognize user enumeration as a vulnerability for this product",4.3,5.3,38903,OpenSSH Probable User Enumeration Vulnerability,2,2,Potential,"Jul 24, 2024","Jul 24, 2024",-,-,NEW,679762276,10.66.179.36,10.66.179.36,,Customers are advised to upgrade to OpenSSH 8.8 or later to remediate these vulnerabilities.(https://www.openssh.com/),,No,No,37,4,"Jul 19, 2023","Sep 14, 2021",General remote services,MEDIUM,Public Exploit,-,-,-,1,Successful exploitation allows a remote attacker to test and confirm if a certain combination of username and public key is known to an SSH server.,No,2,334,,"Vulnerable SSH-2.0-OpenSSH_7.5 FreeBSD-20170903 detected on port 22 over TCP.Vulnerable SSH-2.0-OpenSSH_7.5 FreeBSD-20170903 detected on port 12001 over TCP.
"
CVE-2011-4862,"Buffer overflow in libtelnet/encrypt.c in telnetd in FreeBSD 7.3 through 9.0, MIT Kerberos Version 5 Applications (aka krb5-appl) 1.0.2 and earlier, Heimdal 1.5.1 and earlier, GNU inetutils, and possibly other products allows remote attackers to execute arbitrary code via a long encryption key, as exploited in the wild in December 2011.",10,-,119834,FreeBSD Telnetd Code Execution Vulnerability (FreeBSD-SA-11:08),4,4,Potential,"Jul 24, 2024","Jul 24, 2024",-,-,NEW,679762276,10.66.179.36,10.66.179.36,,"The vendor has released FreeBSD 7.4-RELEASE-p5, 7.3-RELEASE-p9, 8.2-RELEASE-p5, 8.1-RELEASE-p7 and 9.0-RELEASE  to fix this vulnerability. For more information, please refer to the Security Advisory FreeBSD-SA-11:08.



Workaround:
For IronPort ESA and the Cisco IronPort SMA. 
Disable Telnet via the GUI:
Step 1: Navigate to Network > IP Interfaces > interface_name.
Step 2: Remove the check from the box next to the Telnet service.
Step 3: Click on the Submit button to submit the change.
Step 4: Click the Commit Change button for these changes to take effect.
(http://security.freebsd.org/advisories/FreeBSD-SA-11:08.telnetd.asc
<P>


Workaround:<BR>
For IronPort ESA and the Cisco IronPort SMA. <P>
Disable Telnet via the GUI:<BR>
Step 1: Navigate to Network > IP Interfaces > interface_name.<BR>
Step 2: Remove the check from the box next to the Telnet service.<BR>
Step 3: Click on the Submit button to submit the change.<BR>
Step 4: Click the Commit Change button for these changes to take effect.<BR><BR>
)",,No,No,95,4,"Jan 9, 2012","Dec 22, 2011",Local,CRITICAL,"Active Attacks,Denial Of Service,Easy Exploit,High Data Loss,High Lateral Movement,Malware Name,Public Exploit,Predicted High Risk,Unauthenticated Exploitation,Remote Code Execution",-,-,-,1,"By exploiting this vulnerability, an attacker can execute arbitrary code with the privileges of the daemon.",No,2,334,,"Remote encryption-supported telnet server is potentially affected by ""FreeBSD Telnetd Code Execution Vulnerability""
"
-,-,-,-,38685,SSL Certificate - Invalid Maximum Validity Date Detected,2,2,Confirmed,"Jul 24, 2024","Jul 24, 2024",TCP,443,NEW,679762276,10.66.179.36,10.66.179.36,,Please install a server certificate with recommended maximum validity.(Please install a server certificate with recommended maximum validity.),,No,No,-,4,"Oct 2, 2017",-,General remote services,MEDIUM,"Easy Exploit,Patch Not Available",-,-,-,1,"By exploiting this vulnerability, an attacker can launch a man-in-the-middle attack.",No,2,334,,"Certificate #0 emailAddress=support@zscaler.com,CN=*.zscalerone.net,OU=Zscaler,O=Zscaler_Inc.,L=San_Jose,ST=California,C=US ISSUER:_emailAddress=support@zscaler.com,CN=Zscaler_QA_Root_CA,OU=Zscaler,O=Zscaler\,_Inc.,L=San_Jose,ST=California,C=US  is valid for more than 39 months
"
CVE-2023-38408,"The PKCS#11 feature in ssh-agent in OpenSSH before 9.3p2 has an insufficiently trustworthy search path, leading to remote code execution if an agent is forwarded to an attacker-controlled system. (Code in /usr/lib is not necessarily safe for loading into ssh-agent.) NOTE: this issue exists because of an incomplete fix for CVE-2016-10009.",-,9.8,38904,OpenSSH Remote Code Execution (RCE) Vulnerability in its forwarded ssh-agent,3,3,Potential,"Jul 24, 2024","Jul 24, 2024",-,-,NEW,679762276,10.66.179.36,10.66.179.36,,Customers are advised to upgrade to OpenSSH 9.3p2 or later to remediate these vulnerabilities.(https://www.openssh.com/txt/release-9.3p2),,No,No,95,4,"Jul 19, 2023","Jul 18, 2023",General remote services,CRITICAL,"Easy Exploit,Public Exploit,Wormable,Unauthenticated Exploitation,Remote Code Execution",-,-,-,1,Successful exploitation allows an attacker to perform a remote code execution vulnerability via a forwarded agent socket. <BR>,No,2,334,,"Vulnerable SSH-2.0-OpenSSH_7.5 FreeBSD-20170903 detected on port 22 over TCP.Vulnerable SSH-2.0-OpenSSH_7.5 FreeBSD-20170903 detected on port 12001 over TCP.
"
-,-,-,-,38909,SHA1 deprecated setting for SSH,2,2,Confirmed,"Jul 24, 2024","Jul 24, 2024",TCP,12001,NEW,679762276,10.66.179.36,10.66.179.36,,"Avoid using deprecated cryptographic settings. 
Use best practices when configuring SSH.
Refer to NIST Retires SHA-1 Cryptographic Algorithm (SSH) .

Other documents to refer
Deprecate settings listed for red hat
Key exchange 
CBC Cipher  


Settings currently considered deprecated:

1.Key exchange algorithms:
diffie-hellman-group1-sha1, rsa1024sha1, diffie-hellman-group14-sha1, diffie-hellman-group-exchange-sha1, gss-gex-sha1-*, gss-group1-sha1-* and gss-group14-sha1-*.

2.MAC:
 hmac-sha1, hmac-sha1-96, hmac-sha1-etm@openssh.com, hmac-sha1-96-etm@openssh.com

3.Host key:
 ssh-rsa, ssh-dss, ssh-rsa-cert-v01@openssh.com, ssh-dss-cert-v01@openssh.com(Avoid using deprecated cryptographic settings. <P>
Use best practices when configuring SSH.<P>
https://www.nist.gov/news-events/news/2022/12/nist-retires-sha-1-cryptographic-algorithm

Other documents to refer<BR>
https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/7/html/7.4_release_notes/chap-red_hat_enterprise_linux-7.4_release_notes-deprecated_functionality_in_rhel7
https://www.ietf.org/archive/id/draft-ietf-curdle-ssh-kex-sha2-13.html
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2008-5161


Settings currently considered deprecated:<P>

1.Key exchange algorithms:<BR>
diffie-hellman-group1-sha1, rsa1024sha1, diffie-hellman-group14-sha1, diffie-hellman-group-exchange-sha1, gss-gex-sha1-*, gss-group1-sha1-* and gss-group14-sha1-*.<P>

2.MAC:<BR>
 hmac-sha1, hmac-sha1-96, hmac-sha1-etm@openssh.com, hmac-sha1-96-etm@openssh.com<P>

3.Host key:<BR>
 ssh-rsa, ssh-dss, ssh-rsa-cert-v01@openssh.com, ssh-dss-cert-v01@openssh.com<P>)",,No,No,-,4,"Sep 28, 2023",-,General remote services,LOW,"Easy Exploit,Patch Not Available",-,-,-,1,"vulnerable to collision attacks, which are designed to fabricate the same hash value for different input data.each hash is supposedly unique.",No,2,334,,"#table cols=""2""
Type Name
key_exchange diffie-hellman-group14-sha1
host_key_algorithm ssh-rsa
MAC hmac-sha1-etm@openssh.com
MAC hmac-sha1
"
-,-,-,-,38909,SHA1 deprecated setting for SSH,2,2,Confirmed,"Jul 24, 2024","Jul 24, 2024",TCP,22,NEW,679762276,10.66.179.36,10.66.179.36,,"Avoid using deprecated cryptographic settings. 
Use best practices when configuring SSH.
Refer to NIST Retires SHA-1 Cryptographic Algorithm (SSH) .

Other documents to refer
Deprecate settings listed for red hat
Key exchange 
CBC Cipher  


Settings currently considered deprecated:

1.Key exchange algorithms:
diffie-hellman-group1-sha1, rsa1024sha1, diffie-hellman-group14-sha1, diffie-hellman-group-exchange-sha1, gss-gex-sha1-*, gss-group1-sha1-* and gss-group14-sha1-*.

2.MAC:
 hmac-sha1, hmac-sha1-96, hmac-sha1-etm@openssh.com, hmac-sha1-96-etm@openssh.com

3.Host key:
 ssh-rsa, ssh-dss, ssh-rsa-cert-v01@openssh.com, ssh-dss-cert-v01@openssh.com(Avoid using deprecated cryptographic settings. <P>
Use best practices when configuring SSH.<P>
https://www.nist.gov/news-events/news/2022/12/nist-retires-sha-1-cryptographic-algorithm

Other documents to refer<BR>
https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/7/html/7.4_release_notes/chap-red_hat_enterprise_linux-7.4_release_notes-deprecated_functionality_in_rhel7
https://www.ietf.org/archive/id/draft-ietf-curdle-ssh-kex-sha2-13.html
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2008-5161


Settings currently considered deprecated:<P>

1.Key exchange algorithms:<BR>
diffie-hellman-group1-sha1, rsa1024sha1, diffie-hellman-group14-sha1, diffie-hellman-group-exchange-sha1, gss-gex-sha1-*, gss-group1-sha1-* and gss-group14-sha1-*.<P>

2.MAC:<BR>
 hmac-sha1, hmac-sha1-96, hmac-sha1-etm@openssh.com, hmac-sha1-96-etm@openssh.com<P>

3.Host key:<BR>
 ssh-rsa, ssh-dss, ssh-rsa-cert-v01@openssh.com, ssh-dss-cert-v01@openssh.com<P>)",,No,No,-,4,"Sep 28, 2023",-,General remote services,LOW,"Easy Exploit,Patch Not Available",-,-,-,1,"vulnerable to collision attacks, which are designed to fabricate the same hash value for different input data.each hash is supposedly unique.",No,2,334,,"#table cols=""2""
Type Name
key_exchange diffie-hellman-group14-sha1
host_key_algorithm ssh-rsa
MAC hmac-sha1-etm@openssh.com
MAC hmac-sha1
"
CVE-2020-15778,"scp in OpenSSH through 8.3p1 allows command injection in the scp.c toremote function, as demonstrated by backtick characters in the destination argument. NOTE: the vendor reportedly has stated that they intentionally omit validation of ""anomalous argument transfers"" because that could ""stand a great chance of breaking existing workflows.""",6.8,7.8,38901,OpenSSH Command Injection Vulnerability,3,3,Potential,"Jul 24, 2024","Jul 24, 2024",-,-,NEW,679762276,10.66.179.36,10.66.179.36,,Customers are advised to upgrade to OpenSSH 8.3 or later to remediate these vulnerabilities.(https://www.openssh.com/),,No,No,42,4,"Jul 19, 2023","Feb 23, 2023",General remote services,HIGH,Public Exploit,-,-,-,1,Successful exploitation allows a remote attacker for command injection in the scp.c toremote function .,No,2,334,,"Vulnerable SSH-2.0-OpenSSH_7.5 FreeBSD-20170903 detected on port 22 over TCP.Vulnerable SSH-2.0-OpenSSH_7.5 FreeBSD-20170903 detected on port 12001 over TCP.
"
